"State Office","Divisional Office","Sales Area","RO Code","RO Name","DRC (Location)","Address","State","District","Pin Code","RO Type","Class Of Market","Highway No","Latitude","Longitude","Primary Mobile","Secondary Mobile","Email","Last Load","Sales Officer Name","Sales Officer Mobile","Sales Officer Email","DRSM Name","DRSM Mobile","DRSM Email"
"Maharashtra SO","GOA DO","Sangli West RSA","387780","HARSHDEEP PETROLEUM","KHERADEWANGI        -SANGLI","INDIAN OIL DEALERS,GAT NO 829/2VILLAGE-KHERADE WANGI,KADEGAON","Maharashtra","SANGLI","415311","RO B Site","D2"," ","17.398691","74.402453","7744894110","0","shubhangisurywanshi75@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","195713","VISHWASRAO NAIK SAH SAKHAR KAR","CHIKHALI             153 SANGLI","GAT NO. 49 AT CHIKHLI TAL. SH,DIST. SANGLI,CHIKHLI","Maharashtra","SANGLI","416408","RO B Site","D2","191","16.94266","74.097692","9970686609","9921376714","vnsskltd@yahoo.com","29-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","260451","SANGLI POLICE FUEL STATION","SANGLI              000611-SANGLI","S.NO. 356/1A (P),MOUJE VISHRAMBAUG TAL. MIRAJ,SANGLI","Maharashtra","SANGLI","416416","B site with “A” SSLF","B"," ","16.849197","74.595088","9011910451","0","spfstation@gmail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126146","N.A.RUKADE","ASHTA           -00030  SANGLI","NA RUKADE,ASHTA SANGLI,SANGLI","Maharashtra","SANGLI","416416","RO B Site","D2","166H","16.946013","74.405427","9423808800","9970935722","nabhiraj.rukde@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","363207","AMIT PETROLEUM","MIRAJ(WML)         000411-SANGLI","INDIAN OIL DEALERS,PANDHARPUR -ROAD N.H -166MIRAJ,MIRAJ","Maharashtra","SANGLI","416437","RO B Site","B"," ","16.8526698","74.6580829","9920211007","0","amitpetroleumioc@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","177349","TRIMURTI PETROLEUM","KASEGAON                 -  SANGLI","""GAT NO. 2881 AT KASEGAON"",DIST. SANGLI,KASEGAON","Maharashtra","SANGLI","415404","RO A Site","D1","48","17.117484","74.196015","9763404555","0","trimurtipetroleum555@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126115","AGRICULTURAL & AUTO SERVICE CENTRE","SANGLI              000611-SANGLI","OLD STATION ROAD,SANGLI - 416416,SANGLI","Maharashtra","SANGLI","416416","RO B Site","B"," ","16.860299","74.571084","9822022324","9423868628","walavalkarbhaskar@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","272864","FATTESINGHRAO NAIK (APPA) SDS","SHIRALA TOWN    -SANGLI","SHIRALA TOWN,TAL SHIRALA,SHIRALA TOWN","Maharashtra","SANGLI","416416","RO B Site","D2","111","16.980312","74.117427","9423273709","0","prachiteedudh@ymail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","192200","SHIVRAJ PETROLEUM","SANGLI              000611-SANGLI","IBP PETROL PUMP CIVIL HOS,ROAD NEARSANGLI BUSINESS,SANGLI CITY","Maharashtra","SANGLI","416416","RO A Site","B"," ","16.853084","74.566072","9850087007","8805217007","rajupatil.savardekar@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","379466","COCO KUPWAD-ADHOC MANGALYA KSK","SANGLI              000611-SANGLI","INDIAN OIL RETAIL OUTLET,KUPWAD SANGLI CITY,KUPWAD","Maharashtra","SANGLI","416416","ADHOC Dealer-A site","B"," ","16.873991","74.591643","9960434395","0","sachin09septpatil@gmail.com","25-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","360981","COCO KADEGAON-ADHOC SHEETAL PETROLI","KADEGAON            004233-SANGLI","INDIAN OIL COCO RO,AT SANGLI MIRAJ ROAD SHIRGAON,KADEGAON","Maharashtra","SANGLI","415304","ADHOC Dealer-A site","D1","166E","17.305773","74.302118","0","0","sheetalpetrolinks@gmail.com","30-APR-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","327668","KRANTIAGRANI DR. GD BAPU LAD SSK LT","BALWADI PHATA     -SANGLI","VILLAGE- KUNDAL TAL- PALUS,DIST- SANGLI 416309,KUNDAL","Maharashtra","SANGLI","416309","RO B Site","D2","233","17.133617","74.429325","7722053826","0","petrolpump@krantisugar.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","333804","SHREE MAHALAXMI UDYOG PETROLEUM","ASHTA           -00030  SANGLI","BAVCHI,TAL: WALWA,BAVCHI","Maharashtra","SANGLI","416301","RO A Site-CorpusFund","D1","166H","16.971984","74.367976","9890957821","0","smuwalwa@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","318027","SHREE SIDHANATH PETROLEUM - ADHOC","PALUS               005760-SANGLI","SANDAGEWADI,PALUS,PALUS","Maharashtra","SANGLI","416310","ADHOC Dealer-A site","D1","266","17.089346","74.468689","0","9881991560","rahulpawariocl@gmail.com","02-FEB-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126153","RAJARAMBAPU PATIL SSK LTD","VALVA               007776-SANGLI","RAJARAMNAGAR SAKHARALE,DIST.SANGLI,SANGLI","Maharashtra","SANGLI","415414","RO A Site","D2","111","17.065666","74.286034","9970900392","8208384949","rajarambapupetrolpump@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","352966","Rajeshwari Petroleum","ASHTA           -00030  SANGLI","At- Ashta Tal- Walwa,Dist- Sangli,Ashta","Maharashtra","SANGLI","416301","RO B Site","D1","166H","16.959394","74.391561","8805884929","0","shindesarojini8888@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","270641","SHRI DATTA PETROLEUM","KADEGAON            004233-SANGLI","GAT NO. 223,VILLAGE KADEGAON,KADEGAON","Maharashtra","SANGLI","415304","RO B Site","D1","166E","17.302378","74.314572","9545456323","0","sacospin@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","192270","SHREE SIDHANATH PETROLEUM","PALUS               005760-SANGLI","PALUJ SH 75SANGALI KARAD ROAD,TAL PALUJ,PALUJ","Maharashtra","SANGLI","416310","RO B Site","D1","266","17.097617","74.443705","9423870838","0","rahulpawariocl@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","192203","SHRI NAVNATH PETROLEUM","KASBE DIGRAJ             - SANGLI","IBP PETROL PUMP GAT NO 54,AT POST KASBE DIGRAJ TAL,KASBE DIGRAJ","Maharashtra","SANGLI","416305","RO A Site","D2","166H","16.890898","74.520157","9657117173","0","shreenavnathpetroleum5151@gmail.com","02-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126145","NARWADKAR PATIL AUTOMOBILES","MIRAJ(WML)         000411-SANGLI","AT POST MIRAJ,DIST : SANGLI,MIRAJ","Maharashtra","SANGLI","416410","RO B Site","B"," ","16.817868","74.643077","9372107642","8888061621","iocnarwadkar@gmail.com","02-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","192187","G K PAWAR","RED                      - SANGLI","VILLAGE: RED TAL. SHIRALA,DIST.SANGLI,SANGLI","Maharashtra","SANGLI","416408","RO A Site","D2","111","16.999052","74.154449","9270088595","9022540655","gkpawarred@gmail.com","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","274504","SAHYADRI PETROLEUM","ARAG   -SANGLI","GAT NO. 82,VILLAGE ARAG,ARAG","Maharashtra","SANGLI","416401","KSK-B Recovery","E"," ","16.791815","74.782155","8208819817","0","sahyadripetrolium@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","361643","SAI PETROLEUM","BEDAG                 -SANGLI","INDIAN OIL DEALERS,GAT NO 170/1/B VILLAGE-MALLEWADI,MALLEWADI","Maharashtra","SANGLI","416410","RO B Site","D2","153","16.846249","74.754204","9284341440","0","BALASAHEBPATIL0311@GMAIL.COM","01-JUL-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","166515","Gadve Petroleum","MIRAJ(WML)         000411-SANGLI","At Miraj City Dist. Sangli -,At Miraj City Dist. Sangli -,Miraj City","Maharashtra","SANGLI","416410","RO B Site","B"," ","16.821502","74.654215","9372109103","9730267016","balasahebgadve@gmail.com","30-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126155","SHETKARI SAHAKARI AUTO SER.CEN","NERLE               000459-SANGLI","AT POST NERLE,DIST : SANGLI,SANGLI","Maharashtra","SANGLI","416416","RO B Site","D1","48","17.086964","74.219382","7972118993","0","ssautonerle@gmail.com","24-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","390693","Anand Filling Station","KAMERI            -SANGLI","Gut No 207/1/1,Vill - Tandulwadi Tal - Walwa,Tandulwadi","Maharashtra","SANGLI","415411","RO B Site","D1"," ","16.9248950","74.2895002","9604315204","0","ajupatil31398@gmail.com","31-MAR-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
"Maharashtra SO","GOA DO","Sangli West RSA","126164","SHAHEED NITIN HIGHWAY SERVCES","ISLAMPUR(RE)       000291-SANGLI","INDIAN OIL DEALERS,ISLAMPUR DIST. SANGLI,SANGLI","Maharashtra","SANGLI","416416","RO A Site","D2","166H","17.032631","74.290317","9822089032","0","omkar.kurlekar@gmail.com","23-JUN-26","Ajinkya Prasannakumar Pandit","919529698797","PANDITAP@INDIANOIL.IN","Madhurendra Krishna Pandey","919448289933","PANDEYMK@INDIANOIL.IN"
